iter	Logloss
0	0.6881728826
1	0.6684793241
2	0.6519703735
3	0.6424634146
4	0.633758093
5	0.6221782264
6	0.6171926304
7	0.613381253
8	0.6100170219
9	0.6063053755
10	0.6032873995
11	0.6010909111
12	0.5994529673
13	0.5971069174
14	0.5950776701
15	0.5936440037
16	0.5914931247
17	0.5907801515
18	0.5895824622
19	0.5881801582
20	0.5870595681
21	0.5855574271
22	0.5844452906
23	0.5833177973
24	0.5819093338
25	0.5807596213
26	0.5800114084
27	0.5787925523
28	0.578279704
29	0.5773546945
30	0.5748388731
31	0.5733171438
32	0.5720756181
33	0.5706939018
34	0.5687922597
35	0.567910732
36	0.5672259249
37	0.5662903856
38	0.5652005043
39	0.5635343337
40	0.5623077497
41	0.5601922363
42	0.5587356049
43	0.5576684613
44	0.5564968754
45	0.5556777067
46	0.5554280166
47	0.5547112296
48	0.55405072
49	0.5529493682
50	0.5518701884
51	0.5511341222
52	0.5500273702
53	0.5498900014
54	0.549634046
55	0.5492527372
56	0.5485870951
57	0.5484486838
58	0.5482246807
59	0.5476590157
60	0.5466205884
61	0.5459863104
62	0.5457590428
63	0.5446927852
64	0.5440804449
65	0.5436226778
66	0.5435310109
67	0.5434323779
68	0.5424938432
69	0.541806603
70	0.5416316241
71	0.5403975941
72	0.5396187971
73	0.5390269749
74	0.5385068516
75	0.5380020872
76	0.5378529272
77	0.5376168736
78	0.5372125442
79	0.5359206639
80	0.5349980976
81	0.5337613134
82	0.5328259758
83	0.5319561692
84	0.5308722426
85	0.5298296097
86	0.5291290517
87	0.5282573117
88	0.5279019948
89	0.5274401958
90	0.5268820917
91	0.5260913188
92	0.5259814947
93	0.525111248
94	0.524921924
95	0.5247003974
96	0.5245323902
97	0.523932912
98	0.523755727
99	0.5230489951
