iter	Passed	Remaining
0	61	6118
1	63	3116
2	64	2100
3	66	1589
4	67	1281
5	68	1076
6	69	928
7	71	816
8	72	729
9	73	660
10	74	602
11	75	555
12	76	514
13	78	479
14	79	449
15	80	421
16	81	398
17	82	377
18	83	357
19	85	340
20	86	324
21	87	310
22	88	296
23	89	284
24	91	273
25	92	262
26	93	252
27	94	243
28	95	234
29	96	226
30	98	218
31	99	210
32	100	203
33	101	197
34	102	190
35	103	184
36	105	178
37	106	173
38	107	167
39	108	162
40	109	157
41	110	153
42	111	148
43	113	143
44	114	139
45	115	135
46	116	131
47	117	127
48	118	123
49	119	119
50	121	116
51	122	112
52	123	109
53	124	106
54	125	102
55	126	99
56	127	96
57	129	93
58	130	90
59	131	87
60	132	84
61	133	81
62	134	79
63	136	76
64	137	74
65	138	71
66	139	68
67	141	66
68	142	63
69	143	61
70	144	58
71	145	56
72	146	54
73	147	51
74	149	49
75	150	47
76	151	45
77	152	43
78	153	40
79	155	38
80	156	36
81	157	34
82	158	32
83	159	30
84	160	28
85	162	26
86	163	24
87	164	22
88	165	20
89	167	18
90	168	16
91	169	14
92	170	12
93	171	10
94	172	9
95	173	7
96	175	5
97	176	3
98	177	1
99	178	0
